Tue. Aug. 25, 2020             LANDSAT 5                 Time: 00:12
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 021 / 040

L0R Reference Image: L51GNC1010097160101_HDF.202250957
Acquisition Date: Apr 07, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
021   039   10-15-2001, 01-31-2015
021   040   10-15-2001, 11-15-2015
022   039   09-17-2000, 11-22-2015
022   040   10-01-1999, 02-07-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0210400185_01   29.364191  -89.584674   -27.040      -1.746     4.413    -2.508     4.033
0210400189_01   29.146555  -89.174346   -25.000       1.823    -1.184     2.006    -0.839
0210400194_01   29.342958  -89.311400   -21.319       1.705     4.792     0.820     5.021
0210400199_01   29.270333  -89.154693   -23.073       1.329     2.870     0.794     3.062
0210400204_01   29.426689  -89.693454   -18.634       1.077     2.328     0.644     2.484
0210400208_01   29.541535  -89.754008   -21.324       3.448    -1.242     3.617    -0.607
0210400213_01   29.382293  -89.455657   -24.374       1.476     4.581     0.633     4.773
0210400215_01   29.340113  -89.485543   -18.875      -6.644     6.202    -7.650     4.917
0210400216_01   29.717349  -89.546210   -25.105       4.577    -3.109     5.061    -2.243
0210400218_01   29.307640  -89.217231   -24.339      -1.763    -2.361    -1.312    -2.639
0210400221_01   29.136165  -89.196622   -22.579      -0.132    -1.442     0.128    -1.443
0210400227_01   29.181154  -89.122395   -23.045       0.495     0.189     0.454     0.275
0210400230_01   29.257292  -89.553544   -24.133       0.897     3.097     0.329     3.209
0210400232_01   29.730642  -89.665271   -18.792       2.711     2.867     2.156     3.306
0210400233_01   29.380252  -89.781208   -18.278      -0.190    -3.791     0.492    -3.767
0210400237_01   29.458609  -89.557953   -25.485       0.922     2.329     0.491     2.457
0210400238_01   29.599796  -89.750931   -23.142       0.203    -1.856     0.532    -1.791
0210400241_01   29.537403  -89.691999   -25.962      -0.270    -3.223     0.311    -3.221
0210400244_01   29.308173  -89.734549   -20.922       4.763    -4.772     5.543    -3.847
0210400246_01   29.523756  -89.749503   -18.152      -1.824    -3.900    -1.097    -4.166
0210400249_01   29.450413  -89.710802   -23.462       2.086     2.638     1.581     2.970
0210400255_01   29.347994  -89.332183   -21.340      -1.856     1.514    -2.098     1.158
0210400256_01   29.432981  -89.666063   -17.641      -3.821    -0.675    -3.640    -1.347
0210400257_01   29.555069  -89.728665   -19.124      -2.938     0.079    -2.906    -0.447
0210400260_01   29.523996  -89.671559   -25.596      -0.754    -2.901    -0.223    -2.991
0210400264_01   29.317611  -89.437263   -23.795       3.998    -1.755     4.249    -1.013
0210400265_01   29.108582  -89.161534   -25.000      -1.989     2.076    -2.329     1.687
0210400266_01   29.713600  -89.633504   -22.199      -1.884    -3.203    -1.281    -3.490
0210400267_01   29.497921  -89.715418   -23.052       5.323    -2.918     5.763    -1.922
0210400270_01   29.423203  -89.570674   -20.604      -1.506    -0.225    -1.442    -0.491
0210400283_01   29.209114  -89.201561   -24.000       2.406    -3.675     3.026    -3.186
0210400284_01   29.587050  -89.536893   -19.710      -3.332    -6.608    -2.097    -7.100
0210400287_01   29.404069  -89.520816   -22.069       4.229     4.337     3.387     5.024
0210400289_01   29.336964  -89.582360   -23.954      -5.953     3.115    -6.417     2.003
0210400294_01   29.567375  -89.683876   -23.049      -0.897     4.327    -1.657     4.099
0210400297_01   29.431822  -89.542720   -20.457      -0.288     3.599    -0.928     3.491
0210400298_01   29.314521  -89.686808   -23.219      -1.749     1.077    -1.915     0.748
0210400301_01   29.174331  -89.142603   -22.934      -5.193    -6.603    -3.929    -7.427
0210400305_01   29.422333  -89.750833   -18.186      -4.172     1.700    -4.411     0.929
0210400309_01   29.401413  -89.751555   -18.334       3.288     2.735     2.747     3.280
0210400315_01   29.506118  -89.765710   -21.649       2.584    -0.840     2.694    -0.365
0210400317_01   29.290047  -89.218377   -23.844      -2.902     3.904    -3.554     3.323
0210400320_01   29.459496  -89.744391   -19.704       1.377     1.018     1.173     1.248
0210400321_01   29.341864  -89.634386   -26.019      -5.836    -0.912    -5.582    -1.941
0210400323_01   29.408489  -89.683388   -23.142       1.457     1.449     1.174     1.687
0210400328_01   29.121709  -89.084449   -23.000       4.985     6.631     3.720     7.418
0210400332_01   29.710263  -89.656026   -16.960       1.877    -2.168     2.235    -1.799
0210400336_01   29.374109  -89.657499   -25.252      -1.011     6.046    -2.078     5.771
0210400337_01   29.410536  -89.649731   -23.252      -1.450    -0.212    -1.390    -0.468
0210400339_01   29.469036  -89.714349   -20.492      -0.160     1.468    -0.420     1.417
0210400340_01   29.478840  -89.587800   -19.957       0.596    -4.964     1.475    -4.780
0210400345_01   29.106891  -89.265058   -23.000       0.432    -3.018     0.965    -2.893
0210400347_01   29.705073  -89.533124   -23.939      -1.135    -0.714    -0.989    -0.906
0210400350_01   29.459089  -89.615448   -22.271       5.938    -0.833     5.994     0.240
0210400351_01   29.177727  -89.221284   -24.000       2.109    -4.239     2.834    -3.795
0210400354_01   29.345557  -89.610325   -23.943      -3.046    -0.511    -2.906    -1.048
0210400360_01   29.127740  -89.165630   -20.000      -3.313    -0.428    -3.184    -1.013
0210400362_01   29.032069  -89.182378   -23.296       5.664    -0.283     5.625     0.734
0210400366_01   29.380166  -89.364084   -22.000       6.526     6.005     5.349     7.076
0210400371_01   29.048630  -89.317068   -23.000      -0.953    -2.618    -0.469    -2.747
0210400379_01   29.506703  -89.739437   -19.364      -3.269    -2.113    -2.839    -2.664
0210400382_01   29.372984  -89.712755   -19.702      -1.179     5.188    -2.090     4.897
0210400385_01   29.709788  -89.455413   -25.176       2.816    -0.889     2.930    -0.372
0210400386_01   29.225668  -89.251613   -22.000       5.294     0.046     5.202     0.992
0210400391_01   29.435641  -89.569399   -21.038      -1.736     0.928    -1.875     0.603
0210400394_01   29.541617  -89.575486   -24.020       2.781     1.061     2.548     1.542
0210400398_01   29.563053  -89.736026   -19.993       2.339     0.178     2.270     0.593
0210400402_01   29.120750  -89.212653   -24.000       3.070     2.843     2.513     3.347
0210400403_01   29.129176  -89.143161   -20.000       5.940     3.002     5.309     4.016
0210400404_01   29.304410  -89.187865   -22.000       3.622    -2.313     3.978    -1.629
0210400405_01   29.647055  -89.509674   -21.029       2.357     1.825     1.993     2.218
0210400415_01   29.157428  -89.154535   -22.000      -1.931    -4.982    -1.009    -5.248
0210400416_01   29.094458  -89.198532   -24.000      -0.244    -2.647     0.233    -2.649
0210400418_01   29.149687  -89.230839   -23.000       6.078    -5.906     7.039    -4.727
0210400421_01   29.595348  -89.717708   -19.095      -2.195    -4.588    -1.340    -4.909
0210400423_01   29.155601  -89.265495   -21.000      -4.499    -0.312    -4.372    -1.112
0210400426_01   29.420909  -89.589430   -21.892      -2.038     0.504    -2.096     0.132
0210400427_01   29.674060  -89.528639   -18.820       0.811     0.387     0.729     0.526
0210400432_01   29.397043  -89.562898   -27.670      -1.866    -2.089    -1.463    -2.390
0210400433_01   29.548213  -89.693246   -17.479      -2.851    -2.308    -2.393    -2.782
0210400434_01   29.055715  -89.183535   -23.000       1.965     3.106     1.379     3.408
0210400435_01   29.301543  -89.164642   -23.000       4.521     4.344     3.673     5.083
0210400436_01   29.413271  -89.522170   -24.895      -0.750     2.398    -1.167     2.227
0210400439_01   29.329560  -89.301448   -24.000       1.354     1.516     1.061     1.734
0210400440_01   29.345576  -89.329922   -23.000       0.253     0.572     0.147     0.608
0210400444_01   29.125825  -89.281806   -23.000      -4.689     4.267    -5.379     3.362
0210400445_01   29.668128  -89.554828   -25.708      -0.101    -1.041     0.087    -1.043
0210400446_01   29.214521  -89.138756   -22.000       1.188     4.599     0.347     4.738
0210400454_01   29.038733  -89.212732   -24.000       4.846     4.518     3.962     5.313
0210400456_01   29.234424  -89.213547   -25.000       2.959     2.407     2.482     2.898
0210400457_01   29.413955  -89.542907   -20.729      -0.618     1.741    -0.920     1.604
0210400459_01   29.294711  -89.281822   -21.000       3.228    -5.823     4.218    -5.154
0210400464_01   29.118775  -89.064340   -23.000       2.020     4.677     1.152     4.964
0210400467_01   29.478312  -89.587484   -23.843      -0.435    -3.647     0.225    -3.668
0210400470_01   29.441299  -89.694138   -20.113       1.398     2.242     0.975     2.457
0210400471_01   29.203860  -89.244659   -24.000      -0.252    -2.220     0.149    -2.230
0210400477_01   29.526100  -89.689259   -18.642      -0.745     0.690    -0.857     0.546
0210400478_01   29.679653  -89.430530   -18.458      -3.266     5.235    -4.151     4.569
0210400479_01   29.054735  -89.338466   -22.000       2.412     2.250     1.971     2.646
0210400480_01   29.771770  -89.651116   -18.320       0.125     2.268    -0.283     2.255
0210400483_01   29.189843  -89.191912   -24.000      -2.888    -0.335    -2.783    -0.846
0210400484_01   29.216087  -89.159453   -22.000      -4.688    -2.776    -4.117    -3.570
0210400485_01   28.951284  -89.402922   -22.000      -3.043    -3.854    -2.306    -4.338
0210400487_01   29.083724  -89.176116   -25.000      -0.684    -2.325    -0.257    -2.411
0210400490_01   29.105241  -89.234201   -22.000      -1.261    -4.763    -0.389    -4.914
0210400496_01   29.088562  -89.260036   -22.000      -2.203    -1.384    -1.921    -1.757
0210400505_01   29.059613  -89.259094   -22.000      -0.141    -2.058     0.230    -2.051
0210400506_01   29.482679  -89.627194   -22.826       0.527     5.270    -0.425     5.282
0210400507_01   29.331263  -89.674892   -22.048      -1.302     1.944    -1.630     1.681
0210400511_01   29.179937  -89.151915   -22.000      -2.775    -3.669    -2.075    -4.107
0210400512_01   29.439072  -89.642467   -23.527       1.048     2.340     0.613     2.490
0210400514_01   29.643679  -89.615847   -19.264      -1.432    -0.811    -1.265    -1.054
0210400517_01   29.521423  -89.584888   -26.614      -3.307     4.698    -4.096     4.033
0210400518_01   29.075238  -89.198430   -22.000      -1.223     1.232    -1.424     0.994
0210400520_01   29.456249  -89.553536   -21.813       1.591     3.127     1.007     3.363
0210400522_01   29.352749  -89.458296   -25.216       0.868     5.810    -0.185     5.874
0210400524_01   29.359090  -89.596223   -25.865      -1.806    -0.244    -1.734    -0.563
