==============================================================================
==============================================================================
Tue. Aug. 25 2020                  LANDSAT 5                       Time: 00:13
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 21 / 40
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 95.9%
Rank   2 --  4.1%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0210401444   29.30977    -89.60806    -0.16     -0.05     0.16     1 
0210401454   29.31576    -89.28088    -0.05      0.01     0.05     1 
0210401456   29.31687    -89.21544     0.30     -0.04     0.31     1 
0210401519   29.28435    -89.60742     0.05      0.16     0.17     1 
0210401530   29.29089    -89.24760     0.12      0.12     0.17     1 
0210401531   29.29143    -89.21489     0.29      0.22     0.36     1 
0210401596   29.26018    -89.54138     0.01      0.01     0.02     1 
0210401602   29.26377    -89.34516    -0.27     -0.36     0.46     1 
0210401605   29.26546    -89.24705     0.18      0.18     0.25     1 
0210401606   29.26600    -89.21434    -0.01     -0.18     0.18     1 
0210401620   29.27281    -88.75634    -0.02      0.15     0.15     1 
0210401671   29.23475    -89.54075     0.08     -0.01     0.08     1 
0210401679   29.23947    -89.27919     0.44      0.14     0.46     1 
0210401680   29.24002    -89.24649     0.15      0.07     0.17     1 
0210401681   29.24057    -89.21379    -0.05      0.12     0.13     1 
0210401682   29.24111    -89.18109     0.18     -0.12     0.22     1 
0210401685   29.24267    -89.08298    -0.08      0.25     0.26     1 
0210401690   29.24512    -88.91945    -0.20      0.00     0.20     1 
0210401750   29.21175    -89.40938    -0.23      0.20     0.30     1 
0210401754   29.21404    -89.27863     0.08     -0.07     0.11     1 
0210401755   29.21459    -89.24593    -0.11      0.13     0.17     1 
0210401756   29.21514    -89.21324    -0.16      0.04     0.16     1 
0210401829   29.18860    -89.27806    -0.47      0.18     0.51     2 
0210401830   29.18916    -89.24538     0.03      0.10     0.10     1 
0210401831   29.18970    -89.21270    -0.02     -0.37     0.37     1 
0210401832   29.19024    -89.18001     0.10     -0.20     0.22     1 
0210401835   29.19180    -89.08195     0.26     -0.06     0.26     1 
0210401907   29.16480    -89.17947     0.03     -0.12     0.12     1 
0210401908   29.16533    -89.14680    -0.04     -0.27     0.27     1 
0210401929   29.17458    -88.46039     0.01      0.58     0.58     2 
0210401980   29.13829    -89.24427    -0.13     -0.19     0.24     1 
0210401981   29.13884    -89.21161    -0.12     -0.01     0.12     1 
0210401982   29.13937    -89.17894    -0.06      0.08     0.10     1 
0210401983   29.13990    -89.14627    -0.10      0.04     0.11     1 
0210402053   29.11175    -89.30904     0.15      0.37     0.40     1 
0210402054   29.11231    -89.27638    -0.07     -0.01     0.07     1 
0210402055   29.11286    -89.24372    -0.14     -0.09     0.17     1 
0210402056   29.11340    -89.21106    -0.01     -0.14     0.14     1 
0210402057   29.11394    -89.17840    -0.07     -0.01     0.08     1 
0210402058   29.11446    -89.14574    -0.24     -0.17     0.30     1 
0210402059   29.11498    -89.11308    -0.56     -0.11     0.57     2 
0210402060   29.11549    -89.08041    -0.29      0.13     0.32     1 
0210402067   29.11885    -88.85175     0.01      0.13     0.13     1 
0210402129   29.08687    -89.27582    -0.05     -0.10     0.11     1 
0210402130   29.08742    -89.24317     0.11     -0.08     0.13     1 
0210402131   29.08797    -89.21052     0.27      0.20     0.34     1 
0210402132   29.08850    -89.17786    -0.10      0.02     0.10     1 
0210402202   29.06032    -89.34054     0.45      0.21     0.50     1 
0210402203   29.06088    -89.30790    -0.02      0.09     0.09     1 
0210402204   29.06144    -89.27526    -0.26     -0.15     0.30     1 
0210402206   29.06253    -89.20997     0.07      0.03     0.08     1 
0210402277   29.03489    -89.33997    -0.14     -0.10     0.17     1 
0210402278   29.03545    -89.30734    -0.10     -0.13     0.16     1 
0210402281   29.03710    -89.20943     0.05     -0.06     0.08     1 
0210402352   29.00946    -89.33939    -0.05     -0.01     0.05     1 
0210402357   29.01220    -89.17626    -0.36      0.12     0.38     1 
0210402358   29.01272    -89.14363    -0.23      0.01     0.23     1 
0210402500   28.95744    -89.40347    -0.06     -0.03     0.07     1 
0210402524   28.96915    -88.62066    -0.21     -0.04     0.21     1 
0210402804   28.85798    -89.27081    -0.18     -0.40     0.44     1 
0210403030   28.78222    -89.23660    -0.07     -0.04     0.08     1 
0210403325   28.67769    -89.39705    -0.06     -0.28     0.28     1 
----------------------------------------------------------------------
---------------------------------------------------
Total correlated GCPs in Upper Left Quadrant: 141

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.065
  Median: -0.064
  Standard Deviation: 0.173

Sample residual statistics:
  Mean: 0.001
  Median: 0.007
  Standard Deviation: 0.160

Quadrant RMSE: 0.245

---------------------------------------------------
Total correlated GCPs in Upper Right Quadrant: 4

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.052
  Median: -0.006
  Standard Deviation: 0.089

Sample residual statistics:
  Mean: 0.204
  Median: 0.138
  Standard Deviation: 0.232

Quadrant RMSE: 0.326

---------------------------------------------------
Total correlated GCPs in Lower Left Quadrant: 3

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.105
  Median: -0.069
  Standard Deviation: 0.055

Sample residual statistics:
  Mean: -0.238
  Median: -0.276
  Standard Deviation: 0.149

Quadrant RMSE: 0.305

---------------------------------------------------
Total correlated GCPs in Lower Right Quadrant: 0

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.000
  Median: 0.000
  Standard Deviation: 0.000

Sample residual statistics:
  Mean: 0.000
  Median: 0.000
  Standard Deviation: 0.000

Quadrant RMSE: 0.000

---------------------------------------------------
---------------------------------------------------
Total correlated GCPs in scene: 148

GCP statistics entire scene (in Pixels)
Line residual statistics:
  Mean: -0.065
  Median: -0.063
  Standard Deviation: 0.170

Sample residual statistics:
  Mean: 0.001
  Median: 0.006
  Standard Deviation: 0.169

Scene RMSE: 0.248

