==============================================================================
==============================================================================
Mon. Aug. 24 2020                  LANDSAT 5                       Time: 21:50
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 21 / 40
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0210400016   29.78556    -89.71276     0.00     -0.01     0.01     1 
0210400091   29.76014    -89.71207    -0.06     -0.02     0.06     1 
0210400092   29.76081    -89.67922     0.10      0.13     0.16     1 
0210400093   29.76147    -89.64636    -0.06      0.04     0.07     1 
0210400094   29.76213    -89.61350    -0.12      0.06     0.13     1 
0210400095   29.76277    -89.58064    -0.01     -0.06     0.06     1 
0210400096   29.76341    -89.54778     0.00     -0.07     0.07     1 
0210400166   29.73472    -89.71139     0.08      0.06     0.10     1 
0210400167   29.73539    -89.67854     0.02     -0.03     0.04     1 
0210400168   29.73605    -89.64569    -0.09     -0.11     0.14     1 
0210400173   29.73924    -89.48143    -0.00      0.40     0.40     1 
0210400240   29.70862    -89.74354     0.14      0.28     0.31     1 
0210400241   29.70930    -89.71071     0.04      0.18     0.19     1 
0210400242   29.70997    -89.67787    -0.03      0.14     0.14     1 
0210400243   29.71063    -89.64503    -0.00     -0.01     0.01     1 
0210400244   29.71128    -89.61218    -0.02     -0.00     0.02     1 
0210400315   29.68320    -89.74285     0.01      0.07     0.07     1 
0210400316   29.68388    -89.71002    -0.01      0.04     0.05     1 
0210400317   29.68454    -89.67719     0.02     -0.07     0.07     1 
0210400318   29.68520    -89.64436    -0.00      0.04     0.04     1 
0210400319   29.68586    -89.61153    -0.05     -0.05     0.08     1 
0210400390   29.65778    -89.74216    -0.02      0.07     0.07     1 
0210400391   29.65846    -89.70934    -0.01     -0.05     0.05     1 
0210400392   29.65912    -89.67652    -0.02     -0.01     0.02     1 
0210400393   29.65978    -89.64369     0.05     -0.23     0.23     1 
0210400394   29.66043    -89.61087    -0.12      0.03     0.13     1 
0210400395   29.66108    -89.57804    -0.20     -0.07     0.21     1 
0210400465   29.63236    -89.74147    -0.01      0.13     0.13     1 
0210400466   29.63303    -89.70866     0.00      0.11     0.11     1 
0210400467   29.63370    -89.67584    -0.00      0.08     0.08     1 
0210400468   29.63436    -89.64303     0.33     -0.18     0.37     1 
0210400469   29.63501    -89.61021    -0.23     -0.12     0.26     1 
0210400540   29.60694    -89.74078    -0.02     -0.02     0.03     1 
0210400541   29.60761    -89.70798    -0.03      0.06     0.07     1 
0210400542   29.60828    -89.67517    -0.02      0.01     0.02     1 
0210400543   29.60893    -89.64236    -0.27     -0.11     0.30     1 
0210400544   29.60958    -89.60956     0.10     -0.13     0.17     1 
0210400614   29.58083    -89.77289    -0.16      0.14     0.21     1 
0210400615   29.58151    -89.74010    -0.04      0.00     0.04     1 
0210400616   29.58219    -89.70730     0.02     -0.02     0.03     1 
0210400617   29.58285    -89.67450    -0.02     -0.05     0.05     1 
0210400619   29.58416    -89.60890    -0.17     -0.34     0.38     1 
0210400621   29.58543    -89.54330    -0.27     -0.27     0.38     1 
0210400691   29.55676    -89.70662    -0.05      0.04     0.06     1 
0210400692   29.55743    -89.67383    -0.00     -0.04     0.04     1 
0210400693   29.55809    -89.64104    -0.01     -0.26     0.26     1 
0210400766   29.53134    -89.70594     0.03      0.05     0.06     1 
0210400767   29.53201    -89.67316     0.13      0.12     0.17     1 
0210400842   29.50658    -89.67249    -0.13     -0.08     0.15     1 
0210400913   29.47846    -89.80288    -0.01      0.06     0.06     1 
0210400915   29.47983    -89.73735    -0.11      0.04     0.12     1 
0210400916   29.48050    -89.70459    -0.03      0.06     0.07     1 
0210400918   29.48181    -89.63906    -0.09     -0.02     0.09     1 
0210400919   29.48246    -89.60629     0.05     -0.13     0.14     1 
0210400988   29.45304    -89.80218    -0.07      0.09     0.11     1 
