==============================================================================
==============================================================================
Mon. Aug. 24 2020                  LANDSAT 5                       Time: 21:50
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 21 / 40
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
0210400989   29.45373    -89.76943     0.23     -0.01     0.23     1 
0210400990   29.45440    -89.73667    -0.10      0.06     0.11     1 
0210400991   29.45507    -89.70392    -0.02     -0.10     0.11     1 
0210400992   29.45574    -89.67116    -0.10      0.09     0.14     1 
0210400995   29.45767    -89.57288    -0.05      0.03     0.06     1 
0210400996   29.45830    -89.54012     0.02     -0.33     0.33     1 
0210401063   29.42762    -89.80148    -0.06      0.19     0.20     1 
0210401064   29.42831    -89.76874    -0.07      0.11     0.13     1 
0210401065   29.42898    -89.73599    -0.11      0.07     0.13     1 
0210401066   29.42965    -89.70324    -0.04      0.01     0.04     1 
0210401067   29.43031    -89.67049    -0.16      0.10     0.19     1 
0210401068   29.43097    -89.63774    -0.05     -0.08     0.09     1 
0210401070   29.43225    -89.57224    -0.03      0.01     0.04     1 
0210401071   29.43288    -89.53948    -0.11     -0.21     0.24     1 
0210401139   29.40288    -89.76805    -0.11      0.09     0.14     1 
0210401140   29.40356    -89.73531    -0.18      0.17     0.24     1 
0210401141   29.40423    -89.70257    -0.03      0.06     0.06     1 
0210401142   29.40489    -89.66983     0.00      0.07     0.07     1 
0210401144   29.40619    -89.60434     0.04      0.15     0.15     1 
0210401145   29.40682    -89.57160     0.05     -0.02     0.06     1 
0210401146   29.40745    -89.53885    -0.22     -0.09     0.23     1 
0210401216   29.37880    -89.70190     0.01      0.02     0.03     1 
0210401217   29.37946    -89.66916    -0.11      0.00     0.11     1 
0210401219   29.38076    -89.60369    -0.02     -0.02     0.03     1 
0210401221   29.38202    -89.53822     0.04      0.12     0.13     1 
0210401222   29.38264    -89.50548     0.10      0.03     0.10     1 
0210401290   29.35271    -89.73395     0.02      0.15     0.15     1 
0210401291   29.35338    -89.70122     0.06      0.21     0.22     1 
0210401292   29.35404    -89.66850    -0.00      0.12     0.12     1 
0210401293   29.35469    -89.63577     0.03     -0.06     0.07     1 
0210401294   29.35533    -89.60305    -0.06      0.17     0.18     1 
0210401295   29.35597    -89.57032    -0.07      0.07     0.10     1 
0210401296   29.35660    -89.53759    -0.15      0.05     0.16     1 
0210401302   29.36019    -89.34119    -0.04     -0.11     0.11     1 
0210401303   29.36076    -89.30846    -0.28      0.06     0.29     1 
0210401304   29.36132    -89.27572     0.17     -0.09     0.19     1 
0210401363   29.32593    -89.79870    -0.05      0.14     0.15     1 
0210401364   29.32662    -89.76598    -0.00      0.07     0.07     1 
0210401365   29.32729    -89.73327    -0.05      0.05     0.07     1 
0210401366   29.32796    -89.70055     0.01      0.10     0.10     1 
0210401367   29.32862    -89.66784    -0.01      0.10     0.10     1 
0210401369   29.32991    -89.60240    -0.19      0.15     0.25     1 
0210401371   29.33117    -89.53696    -0.19      0.15     0.24     1 
0210401377   29.33476    -89.34061    -0.03      0.02     0.04     1 
0210401378   29.33533    -89.30788    -0.02      0.15     0.15     1 
0210401379   29.33589    -89.27515    -0.06      0.09     0.11     1 
0210401444   29.30448    -89.60175    -0.11      0.00     0.11     1 
0210401448   29.30697    -89.47090    -0.04      0.05     0.06     1 
0210401452   29.30933    -89.34003     0.03      0.05     0.06     1 
0210401453   29.30990    -89.30731    -0.00      0.14     0.14     1 
0210401454   29.31046    -89.27459    -0.03      0.07     0.08     1 
0210401456   29.31156    -89.20915     0.08     -0.01     0.08     1 
0210401519   29.27906    -89.60111    -0.11      0.12     0.16     1 
0210401523   29.28154    -89.47029    -0.01      0.18     0.18     1 
0210401524   29.28214    -89.43758     0.08      0.01     0.08     1 
0210401526   29.28332    -89.37216     0.15      0.09     0.18     1 
0210401527   29.28390    -89.33945     0.00      0.07     0.07     1 
0210401528   29.28447    -89.30674     0.05     -0.01     0.05     1 
0210401529   29.28503    -89.27402     0.11      0.09     0.14     1 
0210401531   29.28613    -89.20860     0.04      0.13     0.14     1 
0210401532   29.28666    -89.17588    -0.28      0.29     0.40     1 
0210401595   29.25426    -89.56777     0.06     -0.11     0.13     1 
0210401596   29.25489    -89.53507     0.10     -0.17     0.20     1 
0210401597   29.25550    -89.50238    -0.05      0.11     0.12     1 
0210401598   29.25611    -89.46968    -0.08      0.18     0.20     1 
0210401599   29.25671    -89.43698     0.02      0.08     0.09     1 
0210401600   29.25731    -89.40427    -0.04      0.14     0.15     1 
0210401601   29.25789    -89.37157    -0.04      0.13     0.14     1 
0210401602   29.25847    -89.33887    -0.29     -0.07     0.30     1 
0210401603   29.25904    -89.30617     0.12      0.27     0.29     1 
0210401604   29.25960    -89.27346     0.14      0.08     0.16     1 
0210401605   29.26015    -89.24076     0.12      0.16     0.20     1 
0210401606   29.26069    -89.20805    -0.14     -0.03     0.14     1 
0210401620   29.26748    -88.75007     0.11      0.07     0.13     1 
0210401673   29.23068    -89.46907     0.04      0.14     0.14     1 
0210401674   29.23128    -89.43637    -0.03      0.10     0.10     1 
0210401675   29.23188    -89.40368    -0.03      0.07     0.07     1 
0210401676   29.23246    -89.37099    -0.15      0.07     0.17     1 
0210401677   29.23304    -89.33829    -0.39      0.08     0.40     1 
0210401678   29.23360    -89.30560    -0.31      0.07     0.32     1 
0210401679   29.23416    -89.27290     0.10      0.07     0.12     1 
0210401680   29.23472    -89.24020    -0.15      0.28     0.32     1 
0210401681   29.23526    -89.20750    -0.05      0.08     0.10     1 
0210401682   29.23579    -89.17480    -0.03     -0.14     0.14     1 
0210401685   29.23736    -89.07670    -0.16      0.05     0.17     1 
0210401749   29.20585    -89.43577     0.02      0.07     0.07     1 
0210401750   29.20645    -89.40309    -0.05     -0.07     0.08     1 
0210401752   29.20760    -89.33771    -0.39      0.20     0.44     1 
0210401753   29.20817    -89.30503     0.07      0.19     0.20     1 
0210401754   29.20873    -89.27234    -0.14      0.02     0.14     1 
0210401755   29.20928    -89.23965    -0.10      0.25     0.27     1 
0210401756   29.20983    -89.20696    -0.08      0.04     0.09     1 
0210401757   29.21036    -89.17427    -0.31     -0.04     0.32     1 
0210401758   29.21089    -89.14158     0.16     -0.25     0.30     1 
0210401824   29.18042    -89.43517    -0.12      0.31     0.34     1 
0210401825   29.18102    -89.40249    -0.05     -0.01     0.05     1 
0210401826   29.18160    -89.36982    -0.06     -0.10     0.11     1 
0210401827   29.18217    -89.33714    -0.03      0.11     0.12     1 
0210401830   29.18385    -89.23910     0.03     -0.11     0.11     1 
0210401831   29.18439    -89.20641    -0.14     -0.27     0.30     1 
0210401832   29.18493    -89.17373     0.18     -0.29     0.34     1 
0210401835   29.18648    -89.07568     0.01      0.17     0.17     1 
0210401900   29.15559    -89.40190    -0.22     -0.02     0.22     1 
0210401901   29.15617    -89.36923     0.06     -0.08     0.10     1 
0210401902   29.15674    -89.33656     0.06      0.15     0.17     1 
0210401907   29.15949    -89.17319    -0.11      0.02     0.11     1 
0210401908   29.16002    -89.14052    -0.12     -0.09     0.15     1 
0210401929   29.16923    -88.45414     0.04      0.32     0.32     1 
0210401966   29.12457    -89.69522    -0.08      0.16     0.18     1 
0210401975   29.13015    -89.40131    -0.11      0.29     0.31     1 
0210401978   29.13188    -89.30332     0.00     -0.00     0.00     1 
0210401979   29.13243    -89.27066     0.21      0.13     0.25     1 
0210401981   29.13352    -89.20533    -0.06      0.04     0.07     1 
0210401982   29.13406    -89.17266     0.02      0.08     0.08     1 
0210401983   29.13458    -89.13999    -0.16      0.02     0.17     1 
0210401984   29.13510    -89.10732    -0.02     -0.19     0.19     1 
0210402053   29.10644    -89.30276    -0.12     -0.11     0.16     1 
0210402054   29.10700    -89.27010    -0.12     -0.06     0.13     1 
0210402055   29.10755    -89.23744    -0.01     -0.08     0.08     1 
0210402056   29.10809    -89.20478    -0.26     -0.06     0.27     1 
0210402057   29.10862    -89.17212    -0.12     -0.08     0.14     1 
0210402128   29.08101    -89.30219     0.12     -0.07     0.14     1 
0210402129   29.08157    -89.26954    -0.01     -0.02     0.03     1 
0210402130   29.08212    -89.23689     0.08     -0.16     0.18     1 
0210402131   29.08266    -89.20424    -0.03     -0.12     0.12     1 
0210402132   29.08319    -89.17159    -0.18     -0.11     0.21     1 
0210402202   29.05502    -89.33426     0.18      0.09     0.20     1 
0210402203   29.05558    -89.30162    -0.08     -0.10     0.13     1 
0210402277   29.02958    -89.33369    -0.21      0.00     0.21     1 
0210402278   29.03015    -89.30106    -0.16     -0.40     0.43     1 
0210402281   29.03179    -89.20316     0.13     -0.07     0.15     1 
0210402282   29.03232    -89.17052     0.10     -0.31     0.33     1 
0210402336   28.99407    -89.85496    -0.09      0.01     0.09     1 
0210402357   29.00689    -89.16999    -0.17     -0.03     0.17     1 
0210402426   28.97815    -89.36516     0.18     -0.18     0.25     1 
0210402500   28.95214    -89.39719    -0.16     -0.09     0.19     1 
0210403325   28.67239    -89.39079    -0.03     -0.28     0.28     1 
----------------------------------------------------------------------
---------------------------------------------------
Total correlated GCPs in Upper Left Quadrant: 189

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.038
  Median: -0.029
  Standard Deviation: 0.113

Sample residual statistics:
  Mean: 0.020
  Median: 0.038
  Standard Deviation: 0.129

Quadrant RMSE: 0.177

---------------------------------------------------
Total correlated GCPs in Upper Right Quadrant: 2

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.078
  Median: 0.078
  Standard Deviation: 0.035

Sample residual statistics:
  Mean: 0.195
  Median: 0.195
  Standard Deviation: 0.123

Quadrant RMSE: 0.245

---------------------------------------------------
Total correlated GCPs in Lower Left Quadrant: 1

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.030
  Median: -0.030
  Standard Deviation: 0.000

Sample residual statistics:
  Mean: -0.278
  Median: -0.278
  Standard Deviation: 0.000

Quadrant RMSE: 0.279

---------------------------------------------------
Total correlated GCPs in Lower Right Quadrant: 0

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.000
  Median: 0.000
  Standard Deviation: 0.000

Sample residual statistics:
  Mean: 0.000
  Median: 0.000
  Standard Deviation: 0.000

Quadrant RMSE: 0.000

---------------------------------------------------
---------------------------------------------------
Total correlated GCPs in scene: 192

GCP statistics entire scene (in Pixels)
Line residual statistics:
  Mean: -0.037
  Median: -0.028
  Standard Deviation: 0.113

Sample residual statistics:
  Mean: 0.021
  Median: 0.038
  Standard Deviation: 0.132

Scene RMSE: 0.179

