Mon. Aug. 24, 2020             LANDSAT 5                 Time: 21:49
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 021 / 040

L0R Reference Image: L51GNC1010129160100_HDF.202250838
Acquisition Date: May 09, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
021   039   10-15-2001, 01-31-2015
021   040   10-15-2001, 11-15-2015
022   039   09-17-2000, 11-22-2015
022   040   10-01-1999, 02-07-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0210400129_01   29.198158  -89.355920   -23.000       1.087     2.166     0.683     2.326
0210400130_01   29.265661  -89.280829   -21.384       3.880    -4.170     4.564    -3.411
0210400131_01   29.683114  -89.712292   -23.695       1.446    -1.647     1.718    -1.363
0210400133_01   29.686703  -89.734995   -29.188       0.848    -1.654     1.130    -1.477
0210400134_01   29.066357  -89.162926   -22.732       0.233     6.270    -0.892     6.213
0210400136_01   29.658536  -89.684399   -19.007      -0.372     0.020    -0.370    -0.046
0210400137_01   29.672582  -89.634521   -23.943      -4.556    -2.587    -4.022    -3.360
0210400138_01   29.572571  -89.705636   -19.180       1.577    -3.727     2.219    -3.388
0210400139_01   29.477027  -89.612830   -25.360      -1.515    -0.759    -1.356    -1.018
0210400140_01   29.362884  -89.479267   -26.312       2.667    -0.602     2.733    -0.116
0210400142_01   29.451570  -89.666272   -23.144       3.006     0.597     2.853     1.124
0210400146_01   29.697403  -89.689092   -23.450      -1.449    -4.380    -0.643    -4.571
0210400147_01   29.146990  -89.161729   -25.000      -1.212     1.242    -1.415     1.006
0210400152_01   29.238420  -89.296327   -21.728      -0.275     0.665    -0.390     0.605
0210400154_01   29.231903  -89.203240   -25.000      -4.607    -2.013    -4.175    -2.805
0210400155_01   29.013433  -89.167281   -21.105       2.514     6.010     1.399     6.365
0210400158_01   29.165630  -89.166680   -23.585      -1.593    -4.385    -0.783    -4.600
0210400162_01   29.301525  -89.278880   -23.228       0.013    -0.208     0.050    -0.202
0210400163_01   29.405097  -89.608178   -21.396      -2.898     0.124    -2.875    -0.395
0210400164_01   29.614128  -89.699607   -17.181      -0.448     1.472    -0.704     1.370
0210400165_01   29.173760  -89.421220   -21.585      -4.568    -5.347    -3.540    -6.079
0210400166_01   29.392660  -89.547373   -22.880       3.644     2.278     3.179     2.893
0210400168_01   29.520600  -89.571280   -23.483      -2.599     6.647    -3.747     6.080
0210400169_01   29.367693  -89.304824   -21.943      -2.240     1.122    -2.405     0.705
0210400174_01   29.250665  -89.416302   -33.653       2.340     0.243     2.260     0.657
