==============================================================================
==============================================================================
Mon. Aug. 24 2020                  LANDSAT 5                       Time: 20:23
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 21 / 40
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0210401141   29.40435    -89.69639    -0.03      0.05     0.05     1 
0210401142   29.40501    -89.66365    -0.02      0.07     0.07     1 
0210401143   29.40566    -89.63091    -0.06      0.05     0.08     1 
0210401145   29.40694    -89.56542     0.02     -0.07     0.07     1 
0210401146   29.40757    -89.53267     0.01     -0.10     0.10     1 
0210401214   29.37759    -89.76118    -0.06      0.28     0.29     1 
0210401216   29.37893    -89.69572    -0.15     -0.12     0.20     1 
0210401217   29.37959    -89.66299    -0.06     -0.07     0.09     1 
0210401218   29.38024    -89.63025    -0.29      0.12     0.31     1 
0210401219   29.38088    -89.59752     0.02     -0.03     0.04     1 
0210401221   29.38214    -89.53204     0.08      0.08     0.11     1 
0210401222   29.38276    -89.49930     0.11      0.09     0.14     1 
0210401223   29.38337    -89.46657    -0.08     -0.14     0.16     1 
0210401224   29.38397    -89.43382     0.10      0.05     0.11     1 
0210401225   29.38456    -89.40108     0.33     -0.29     0.44     1 
0210401228   29.38630    -89.30285     0.04     -0.18     0.19     1 
0210401287   29.35080    -89.82594     0.00      0.28     0.28     1 
0210401289   29.35217    -89.76050     0.15     -0.03     0.16     1 
0210401290   29.35284    -89.72777    -0.05      0.10     0.11     1 
0210401291   29.35351    -89.69505     0.04      0.04     0.06     1 
0210401292   29.35416    -89.66232     0.01      0.10     0.10     1 
0210401293   29.35481    -89.62960     0.06     -0.15     0.16     1 
0210401294   29.35545    -89.59687    -0.06      0.09     0.11     1 
0210401298   29.35794    -89.46595    -0.13     -0.11     0.17     1 
0210401301   29.35972    -89.36775    -0.02     -0.04     0.05     1 
0210401302   29.36030    -89.33502     0.05     -0.04     0.06     1 
0210401303   29.36087    -89.30228    -0.07     -0.02     0.08     1 
0210401304   29.36143    -89.26954     0.32     -0.27     0.42     1 
0210401363   29.32606    -89.79252    -0.02      0.07     0.07     1 
0210401364   29.32674    -89.75981     0.01      0.06     0.06     1 
0210401365   29.32742    -89.72710    -0.04      0.05     0.06     1 
0210401366   29.32808    -89.69438     0.02      0.06     0.06     1 
0210401367   29.32874    -89.66166    -0.05     -0.04     0.06     1 
0210401368   29.32939    -89.62895    -0.06     -0.10     0.11     1 
0210401369   29.33003    -89.59623    -0.33      0.17     0.37     1 
0210401370   29.33066    -89.56351    -0.38      0.12     0.40     1 
0210401371   29.33129    -89.53078    -0.05      0.03     0.05     1 
0210401376   29.33429    -89.36716    -0.15      0.12     0.19     1 
0210401377   29.33487    -89.33444    -0.01     -0.01     0.01     1 
0210401378   29.33544    -89.30171    -0.01      0.06     0.06     1 
0210401379   29.33600    -89.26898    -0.05      0.05     0.07     1 
0210401381   29.33709    -89.20352     0.35      0.21     0.40     1 
0210401443   29.30396    -89.62829    -0.07      0.41     0.41     1 
0210401444   29.30460    -89.59558    -0.11     -0.17     0.20     1 
0210401446   29.30586    -89.53016    -0.00      0.04     0.04     1 
0210401448   29.30708    -89.46473    -0.04     -0.04     0.06     1 
0210401449   29.30768    -89.43201    -0.11      0.37     0.39     1 
0210401452   29.30944    -89.33386    -0.17     -0.16     0.23     1 
0210401453   29.31000    -89.30114     0.02      0.06     0.06     1 
0210401454   29.31057    -89.26842    -0.04     -0.00     0.04     1 
0210401455   29.31112    -89.23569     0.18      0.05     0.18     1 
0210401456   29.31166    -89.20297    -0.07     -0.09     0.12     1 
0210401519   29.27918    -89.59494    -0.19      0.05     0.20     1 
0210401523   29.28166    -89.46412    -0.03      0.00     0.03     1 
0210401524   29.28225    -89.43141    -0.06     -0.02     0.07     1 
0210401526   29.28343    -89.36599    -0.04     -0.00     0.04     1 
0210401527   29.28401    -89.33328    -0.02     -0.03     0.03     1 
0210401528   29.28457    -89.30057     0.09     -0.02     0.10     1 
0210401529   29.28513    -89.26785     0.06      0.03     0.07     1 
0210401530   29.28568    -89.23514     0.00      0.14     0.14     1 
0210401531   29.28623    -89.20242     0.13      0.04     0.14     1 
0210401532   29.28676    -89.16971    -0.23      0.19     0.29     1 
0210401595   29.25438    -89.56160     0.08     -0.16     0.18     1 
0210401596   29.25501    -89.52890     0.07      0.29     0.30     1 
0210401597   29.25562    -89.49621    -0.05      0.09     0.10     1 
0210401598   29.25623    -89.46351    -0.05      0.05     0.07     1 
0210401599   29.25683    -89.43081    -0.11      0.14     0.18     1 
0210401600   29.25742    -89.39811    -0.03      0.15     0.15     1 
0210401601   29.25800    -89.36540    -0.05      0.11     0.12     1 
0210401602   29.25857    -89.33270    -0.29     -0.18     0.35     1 
0210401603   29.25914    -89.30000     0.05     -0.02     0.05     1 
0210401604   29.25970    -89.26729     0.11      0.08     0.14     1 
0210401605   29.26025    -89.23458     0.01      0.05     0.05     1 
0210401606   29.26079    -89.20188     0.01     -0.09     0.09     1 
0210401673   29.23080    -89.46290    -0.01      0.12     0.12     1 
0210401674   29.23140    -89.43021    -0.03      0.05     0.06     1 
0210401675   29.23199    -89.39751    -0.12      0.06     0.14     1 
0210401676   29.23257    -89.36482    -0.10      0.14     0.18     1 
0210401677   29.23314    -89.33212    -0.20      0.06     0.21     1 
0210401678   29.23371    -89.29943     0.05      0.10     0.11     1 
0210401679   29.23427    -89.26673     0.24      0.11     0.26     1 
0210401680   29.23482    -89.23403    -0.12      0.29     0.32     1 
0210401681   29.23536    -89.20133    -0.05      0.12     0.13     1 
0210401682   29.23589    -89.16863    -0.11     -0.37     0.39     1 
0210401685   29.23745    -89.07053     0.06     -0.34     0.34     1 
0210401749   29.20597    -89.42960     0.03      0.06     0.07     1 
0210401750   29.20656    -89.39692    -0.12     -0.01     0.12     1 
0210401754   29.20884    -89.26617    -0.04      0.26     0.27     1 
0210401755   29.20939    -89.23348    -0.13      0.37     0.39     1 
0210401756   29.20993    -89.20079     0.00     -0.05     0.05     1 
0210401757   29.21046    -89.16810    -0.26     -0.09     0.28     1 
0210401820   29.17810    -89.55970    -0.33     -0.06     0.33     1 
