Mon. Aug. 24, 2020             LANDSAT 5                 Time: 20:22
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 021 / 040

L0R Reference Image: L51EDC1010145160100_HDF.202250806
Acquisition Date: May 25, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
021   039   10-15-2001, 01-31-2015
021   040   10-15-2001, 11-15-2015
022   039   09-17-2000, 11-22-2015
022   040   10-01-1999, 02-07-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0210400116_01   29.280502  -89.259865   -22.332      -5.951    -0.235    -5.815    -1.293
0210400117_01   29.312445  -89.350196   -20.279       0.902    -1.207     1.104    -1.027
0210400120_01   29.369608  -89.392887   -22.038       2.924     1.842     2.549     2.336
0210400121_01   29.577026  -89.727722   -20.968      -2.544    -1.761    -2.189    -2.187
0210400122_01   29.199607  -89.053295   -23.000      -1.492    -5.589    -0.470    -5.766
0210400126_01   29.452655  -89.586242   -16.119      -0.802     2.976    -1.321     2.787
0210400128_01   29.068035  -89.288216   -18.978       0.000    -0.491     0.088    -0.483
0210400130_01   29.265661  -89.280829   -21.384       3.407    -6.416     4.500    -5.706
0210400131_01   29.683114  -89.712292   -23.695       0.754    -1.897     1.082    -1.732
0210400132_01   29.355853  -89.279534   -22.831       5.635     1.936     5.200     2.912
0210400133_01   29.686703  -89.734995   -29.188       0.082    -1.823     0.407    -1.779
0210400136_01   29.658536  -89.684399   -19.007      -0.024     1.334    -0.262     1.309
0210400137_01   29.672582  -89.634521   -23.943      -4.478    -4.065    -3.681    -4.800
0210400138_01   29.572571  -89.705636   -19.180       2.008    -2.006     2.336    -1.616
0210400139_01   29.477027  -89.612830   -25.360      -0.596    -0.583    -0.482    -0.680
0210400140_01   29.362884  -89.479267   -26.312       2.091     0.885     1.900     1.245
0210400142_01   29.451570  -89.666272   -23.144       1.417     2.533     0.942     2.747
0210400146_01   29.697403  -89.689092   -23.450      -0.043    -2.062     0.327    -2.037
0210400147_01   29.146990  -89.161729   -25.000       0.269     0.766     0.128     0.803
0210400152_01   29.238420  -89.296327   -21.728      -2.032     1.683    -2.301     1.294
0210400153_01   29.662833  -89.462669   -20.205      -3.380    -2.865    -2.814    -3.423
0210400154_01   29.231903  -89.203240   -25.000      -3.734    -1.634    -3.383    -2.275
0210400158_01   29.165630  -89.166680   -23.585       5.173     2.892     4.575     3.770
0210400160_01   29.697467  -89.434057   -17.968      -3.424     0.087    -3.385    -0.525
0210400161_01   29.767357  -89.561073   -24.211      -3.381    -2.106    -2.951    -2.676
0210400162_01   29.301525  -89.278880   -23.228      -0.742     0.771    -0.867     0.627
0210400163_01   29.405097  -89.608178   -21.396      -4.458     0.401    -4.459    -0.401
0210400164_01   29.614128  -89.699607   -17.181      -0.680     0.280    -0.719     0.155
0210400165_01   29.173760  -89.421220   -21.585      -6.301    -6.819    -4.983    -7.837
0210400166_01   29.392660  -89.547373   -22.880       5.780     3.024     5.150     4.008
0210400168_01   29.520600  -89.571280   -23.483      -0.937     5.998    -1.994     5.737
0210400169_01   29.367693  -89.304824   -21.943      -3.748     0.752    -3.823     0.071
0210400170_01   29.484606  -89.745053   -18.829       3.551    -0.664     3.615    -0.020
0210400174_01   29.250665  -89.416302   -33.653      -0.316     1.540    -0.586     1.460
0210400175_01   29.644802  -89.707269   -25.046      -0.018     0.647    -0.133     0.634
0210400176_01   29.644675  -89.739134   -24.067       0.385     0.481     0.293     0.543
